"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1,491791685E-3;5,821268633E-4;-2,090068962E-3;2,056173384E-2;2,067588350E-2
1,154879166E-2;5,724369306E-3;2,154059429E-3;2,669663250E-2;2,738829245E-2
2,160679171E-2;-5,170482667E-3;-8,511188831E-3;1,397367597E-2;1,715919131E-2
3,166379168E-2;-1,129777995E-2;-2,635888271E-3;1,637220383E-2;2,006581164E-2
4,172079166E-2;7,430796968E-3;-2,129300125E-4;7,389711142E-3;1,048188502E-2
5,177879171E-2;-3,019346846E-3;-3,571059052E-3;1,427656174E-2;1,502295354E-2
6,183579168E-2;-4,232726321E-3;-1,454403531E-2;1,233236253E-2;1,953284671E-2
7,189279166E-2;1,034290222E-3;-1,070066046E-2;1,487824023E-2;1,835581441E-2
8,194979170E-2;-2,006426370E-3;-1,253220940E-2;1,263232470E-2;1,790691616E-2
9,200779168E-2;6,030635498E-3;-1,033988725E-2;1,173653126E-2;1,676388973E-2
1,020647917E-1;-9,145410731E-5;-8,198307976E-3;2,027112722E-2;2,186639468E-2
1,121217917E-1;-1,311174156E-3;4,668088071E-3;2,042140067E-2;2,098913598E-2
1,221787917E-1;-3,882176606E-3;-7,926997170E-3;9,046227336E-3;1,263894016E-2
1,322367917E-1;-1,335896915E-3;-1,389080996E-2;1,233879447E-2;1,862753529E-2
1,422937917E-1;7,230940964E-3;-1,024468727E-2;1,143832326E-2;1,697278302E-2
1,523507917E-1;-6,337376777E-3;-1,483921006E-2;9,640304446E-3;1,879627542E-2
1,624087917E-1;-3,545075487E-3;-3,662750702E-3;6,498595476E-3;8,259240043E-3
1,724657917E-1;-5,710171536E-4;-4,016708247E-3;1,742762625E-2;1,789363469E-2
1,825227917E-1;-4,002574431E-3;-4,269490689E-3;1,832458913E-2;1,923641650E-2
1,925797917E-1;9,222995974E-3;-1,045557076E-2;-3,080313206E-3;1,427833828E-2
2,026377917E-1;-2,041692389E-3;9,486961216E-3;7,096765637E-3;1,202227197E-2
2,126947917E-1;2,556631090E-3;-2,162128586E-2;1,622719288E-2;2,715397123E-2
2,227517917E-1;2,299170876E-3;-1,329797538E-2;2,007933855E-3;1,364383136E-2
2,328097917E-1;-9,912857786E-5;9,593417086E-3;-5,326228738E-3;1,097324885E-2
2,428667917E-1;-2,648752145E-3;6,637521666E-3;1,353747368E-2;1,530802977E-2
2,529237917E-1;-2,093220977E-3;-1,165172836E-2;1,817723930E-2;2,169231146E-2
